SENADOR;PARTIDO;UF
Acir Gurgacz;PDT;RO
Aécio Neves;PSDB;MG
Airton Sandoval ;MDB;SP
Alessandro Vieira;PSDB;SE
Alexandre Silveira;PSD;MG
Aloysio Nunes Ferreira;PSDB;SP
Alvaro Dias;PODEMOS;PR
Ana Amélia;PP;RS
Ângela Portela;PDT;RR
Angelo Coronel;PSD;BA
Antonio Anastasia;PSDB;MG
Antonio Anastasia;PSD;MG
Antônio Carlos Valadares;PSB;SE
Armando Monteiro;PTB;PE
Arolde de Oliveira;PSD;RJ
Ataídes Oliveira;PSDB;TO
Benedito de Lira;PP;AL
Bispo José;PL;AC
Blairo Maggi;PL;MT
Carlos Fávaro;PSD;MT
Carlos Portinho;PL;RJ
Carlos Viana;PODEMOS;MG
Cássio Cunha Lima;PSDB;PB
Chico Rodrigues;PSB;RR
Chiquinho Feitosa;DEM;CE
Cid Gomes;PDT;CE
Cidinho Santos;PL;MT
Ciro Nogueira;PP;PI
Confúcio Moura;MDB;RO
Cristovam Buarque;CIDADANIA;DF
Dalirio Beber;PSDB;SC
Daniella Ribeiro;PSD;PB
Dário Berger;MDB;SC
Dário Berger;PSB;SC
Davi Alcolumbre;DEM;AP
Davi Alcolumbre;UNIÃO;AP
Deca;PSDB;PB
Delcídio do Amaral;S/Partido;MG
Demóstenes Torres;S/Partido;GO
Diego Tavares;PP;PB
Donizeti Nogueira;PT;TO
Douglas Cintra;PTB;PE
Dr. Samuel Araújo;PSD;RO
Dra. Eudócia;PSB;AL
Edison Lobão;MDB;MA
Eduardo Amorim;PSDB;SE
Eduardo Braga;MDB;AM
Eduardo Girão;PODEMOS;CE
Eduardo Gomes;PL;TO
Eduardo Lopes;REPUBLICANOS;RJ
Eduardo Velloso;UNIÃO;AC
Elber Batalha;PSB;SE
Eliane Nogueira;PP;PI
Eliziane Gama;PSD;MA
Elmano Férrer;PODEMOS;PI
Elmano Férrer;PP;PI
Esperidião Amin;PP;SC
Eunício Oliveira;MDB;CE
Fabiano Contarato;PT;ES
Fabio Garcia;UNIÃO;MT
Fátima Bezerra;PT;RN
Fernando Bezerra Coelho;MDB;PE
Fernando Collor;PTC;AL
Fernando Collor;PTB;AL
Fernando Dueire;MDB;PE
Fernando Ribeiro;MDB;PA
Flávio Arns;PSB;PR
Flávio Bolsonaro;PL;RJ
Flexa Ribeiro;PSDB;PA
Garibaldi Alves Filho;MDB;RN
Gilberto Piselo;PDT;RO
Gilvam Borges;MDB;AP
Giordano;MDB;SP
Givago Tenório;PP;AL
Gladson Cameli;PP;AC
